Timestamp (s),Angle (deg)
0.0,-9.7559
0.00255,-9.7559
0.00255,-9.7559
0.00255,-9.7559
0.00537,-9.7559
0.00537,-9.7559
0.0072,-9.7559
0.0072,-9.7559
0.00905,-9.7559
0.00905,-9.7559
0.01011,-9.7559
0.01059,-9.7559
0.01059,-9.7559
0.01164,-9.7559
0.01164,-9.7559
0.01164,-9.7559
0.01316,-9.7559
0.01316,-9.7559
0.01473,-9.7559
0.01473,-9.7559
0.01473,-9.7559
0.01473,-9.8438
0.01473,-9.8438
0.01473,-9.8438
0.01473,-9.8438
0.01922,-9.8438
0.01922,-9.8438
0.02054,-9.8438
0.02054,-9.8438
0.02157,-9.8438
0.02157,-9.8438
0.02157,-9.8438
0.02305,-9.8438
0.02305,-9.8438
0.02449,-9.8438
0.02449,-9.8438
0.02548,-9.8438
0.026,-9.8438
0.02702,-9.8438
0.02702,-9.8438
0.02802,-9.8438
0.02873,-9.8438
0.02873,-9.8438
0.02974,-9.8438
0.02974,-9.8438
0.02974,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03076,-9.8438
0.03358,-9.8438
0.03358,-9.8438
0.0346,-9.8438
0.0348,-9.8438
0.0348,-9.8438
0.0348,-9.8438
0.03602,-9.8438
0.03602,-9.8438
0.03602,-9.8438
0.03704,-9.8438
0.03704,-9.8438
0.03816,-9.8438
0.03912,-9.8438
0.03912,-9.7559
0.04022,-9.7559
0.04127,-9.7559
0.04127,-9.7559
0.04229,-9.7559
0.04297,-9.7559
0.04342,-9.7559
0.04342,-9.7559
0.04342,-9.7559
0.04444,-9.7559
0.04444,-9.7559
0.04444,-9.8438
0.04549,-9.8438
0.05415,-9.8438
0.07949,-9.8438
0.10568,-9.8438
0.1298,-9.8438
0.15749,-9.8438
0.18087,-9.8438
0.20859,-9.8438
0.23152,-9.8438
0.25883,-9.8438
0.2811,-9.8438
0.3085,-9.8438
0.33781,-9.8438
0.36207,-9.8438
0.38856,-9.8438
0.41412,-9.8438
0.43988,-9.8438
0.46474,-9.8438
0.49076,-9.8438
0.51522,-9.8438
0.54194,-9.8438
0.56356,-9.8438
0.59359,-9.8438
0.6191,-9.8438
0.64293,-9.7559
0.67067,-9.7559
0.69477,-9.7559
0.7217,-9.7559
0.74662,-9.7559
0.77221,-9.7559
0.79493,-9.7559
0.82501,-9.7559
0.84782,-9.7559
0.8756,-9.7559
0.89708,-9.7559
0.92685,-9.7559
0.95399,-9.7559
0.97853,-9.7559
1.00472,-9.7559
1.02984,-9.668
1.05455,-9.668
1.07904,-9.668
1.10677,-9.668
1.1308,-9.668
1.15898,-9.668
1.18337,-9.668
1.2094,-9.668
1.23244,-9.668
1.25989,-9.668
1.28703,-9.668
1.31098,-9.668
1.33925,-9.668
1.36125,-9.668
1.39013,-9.668
1.41017,-9.5801
1.43764,-9.5801
1.46335,-9.5801
1.49313,-9.5801
1.51186,-9.5801
1.54411,-9.5801
1.56995,-9.4922
1.59322,-9.4922
1.61971,-9.4922
1.6464,-9.4922
1.67001,-9.4922
1.69315,-9.4922
1.72258,-9.4922
1.74441,-9.4922
1.77553,-9.4922
1.794,-9.4922
1.82632,-9.4922
1.85264,-9.4922
1.87674,-9.4922
1.90373,-9.4922
1.92748,-9.4922
1.9538,-9.4922
1.98042,-9.4922
2.00379,-9.4922
2.02907,-9.4922
2.05752,-9.4043
2.0808,-9.4043
2.10889,-9.4043
2.1308,-9.4043
2.15887,-9.4043
2.18698,-9.4043
2.21128,-9.4043
2.23682,-9.4043
2.26227,-9.4043
2.28701,-9.4043
2.31076,-9.4043
2.34027,-9.4043
2.36417,-9.4043
2.39109,-9.4043
2.4114,-9.4043
2.44288,-9.4043
2.46927,-9.4043
