Timestamp (s),Angle (deg)
0.0,-30.2344
0.00256,-30.2344
0.00392,-30.2344
0.00392,-30.2344
0.00392,-30.2344
0.00752,-30.2344
0.00929,-30.2344
0.00929,-30.2344
0.01092,-30.2344
0.0116,-30.2344
0.01316,-30.2344
0.01425,-30.2344
0.01577,-30.1465
0.01682,-30.1465
0.01834,-30.1465
0.01988,-30.1465
0.02133,-30.1465
0.02241,-30.1465
0.02382,-30.1465
0.02482,-30.1465
0.02617,-30.1465
0.0282,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.02922,-30.2344
0.04011,-30.2344
0.04011,-30.2344
0.04144,-30.2344
0.04144,-30.2344
0.04248,-30.2344
0.04248,-30.2344
0.04248,-30.2344
0.04391,-30.2344
0.04453,-30.2344
0.04512,-30.2344
0.04512,-30.2344
0.0472,-30.1465
0.0472,-30.1465
0.0472,-30.1465
0.0472,-30.1465
0.05016,-30.1465
0.0508,-30.1465
0.05146,-30.1465
0.05247,-30.1465
0.05271,-30.1465
0.05379,-30.1465
0.05379,-30.1465
0.05489,-30.1465
0.05489,-30.1465
0.05489,-30.1465
0.05489,-30.1465
0.05489,-30.1465
0.05489,-30.1465
0.05489,-30.2344
0.05489,-30.2344
0.05489,-30.2344
0.05489,-30.2344
0.05489,-30.2344
0.05489,-30.2344
0.06012,-30.2344
0.06012,-30.2344
0.06116,-30.1465
0.06199,-30.1465
0.06199,-30.1465
0.0626,-30.1465
0.06371,-30.1465
0.06371,-30.1465
0.06518,-30.1465
0.06622,-30.1465
0.06657,-30.1465
0.06657,-30.1465
0.06759,-30.1465
0.09074,-30.1465
0.11918,-30.1465
0.14599,-30.1465
0.17241,-30.1465
0.20152,-30.1465
0.22855,-30.1465
0.25433,-30.1465
0.28215,-30.1465
0.3016,-30.1465
0.3343,-30.1465
0.36274,-30.1465
0.38758,-30.1465
0.41239,-30.1465
0.44456,-30.1465
0.46989,-30.1465
0.49583,-30.1465
0.51836,-30.1465
0.55131,-30.1465
0.5792,-30.1465
0.6046,-30.1465
0.63224,-30.1465
0.65154,-30.1465
0.68463,-30.1465
0.71232,-30.1465
0.73559,-30.1465
0.768,-30.1465
0.79483,-30.1465
0.8171,-30.1465
0.84799,-30.1465
0.87242,-30.1465
0.9008,-30.1465
0.92856,-30.1465
0.95503,-30.1465
0.9833,-30.1465
1.01081,-30.1465
1.03519,-30.1465
1.06361,-30.1465
1.08828,-30.1465
1.11836,-30.1465
1.1442,-30.1465
1.17123,-30.1465
1.19833,-30.1465
1.22345,-30.1465
1.25255,-30.1465
1.27731,-30.1465
1.30008,-30.1465
1.33343,-30.1465
1.36119,-30.1465
1.38716,-30.2344
1.41261,-30.2344
1.4414,-30.2344
1.46908,-30.2344
1.49691,-30.2344
1.51681,-30.2344
1.54952,-30.2344
1.57808,-30.2344
1.60125,-30.2344
1.63048,-30.2344
1.6546,-30.2344
1.68405,-30.2344
1.71156,-30.2344
1.73788,-30.2344
1.76211,-30.2344
1.79336,-30.2344
1.81986,-30.2344
1.84646,-30.2344
1.87203,-30.2344
1.89995,-30.2344
1.9277,-30.2344
1.9545,-30.2344
1.98265,-30.2344
2.00753,-30.2344
2.03431,-30.2344
2.06269,-30.2344
2.08729,-30.2344
2.11545,-30.2344
2.14309,-30.2344
2.163,-30.2344
2.19587,-30.2344
2.21909,-30.1465
2.25108,-30.1465
2.27751,-30.1465
2.30168,-30.1465
2.33191,-30.1465
2.35951,-30.1465
2.38348,-30.1465
2.41294,-30.1465
2.43375,-30.1465
2.46629,-30.1465
2.49367,-30.1465
2.51977,-30.1465
2.54555,-30.1465
2.57578,-30.1465
2.59955,-30.1465
2.62842,-30.1465
2.65397,-30.1465
2.68283,-30.0586
2.70947,-29.3555
2.73609,-25.6641
2.76293,-16.1719
2.78797,-1.7578
2.81661,6.3281
2.84277,2.9883
2.86638,-1.6699
2.89363,-1.4062
2.91751,0.7031
2.94461,1.1426
2.9685,0.5273
2.99645,0.3516
3.0191,0.4395
3.04754,0.4395
3.06998,0.4395
3.09841,0.4395
3.12529,0.4395
3.14567,0.4395
3.17572,0.4395
3.20147,0.4395
3.22666,0.3516
3.24964,0.4395
3.27779,0.4395
3.30353,0.5273
3.32831,0.5273
3.35176,0.4395
3.38101,0.3516
3.40149,0.5273
3.43073,0.4395
3.45885,0.4395
3.48186,0.4395
3.50989,0.4395
3.53553,0.4395
3.56089,0.4395
3.58675,0.4395
3.61308,0.4395
3.63682,0.4395
3.66387,0.4395
3.68929,0.4395
3.71415,0.4395
3.73427,0.5273
3.76601,0.4395
3.79165,0.4395
3.81684,0.3516
3.84283,0.4395
3.86697,0.4395
3.89432,0.4395
3.91614,0.4395
3.9438,0.4395
3.96736,0.4395
3.9981,0.3516
4.02049,0.3516
4.04782,0.5273
4.07464,0.5273
4.09898,0.4395
4.1258,0.4395
4.14896,0.4395
4.1778,0.4395
4.19904,0.4395
4.22794,0.3516
4.25036,0.4395
4.28027,0.4395
4.30214,0.4395
4.33028,0.4395
4.35798,0.4395
4.38303,0.4395
4.40893,0.4395
4.43396,0.4395
4.45999,0.4395
4.48478,0.4395
4.51153,0.4395
4.53477,0.5273
4.56114,0.4395
4.58499,0.4395
4.61395,0.4395
4.64054,0.4395
4.66577,0.4395
4.69094,0.4395
4.71532,0.4395
