,,,600 rpm at 10 deg initial deflecion,
,,,Time ,Angle
2.53655,-10.7227,,0,10.7227
2.57005,-9.4043,,0.0335,9.4043
2.59079,-5.9766,,0.05424,5.9766
2.62328,-1.6699,,0.08673,1.6699
2.64304,2.0215,,0.10649,-2.0215
2.6754,4.6582,,0.13885,-4.6582
2.70109,6.0645,,0.16454,-6.0645
2.72629,6.1523,,0.18974,-6.1523
2.75197,5.4492,,0.21542,-5.4492
2.77746,4.5703,,0.24091,-4.5703
2.80263,3.7793,,0.26608,-3.7793
2.82698,3.1641,,0.29043,-3.1641
2.8526,2.6367,,0.31605,-2.6367
2.8756,2.4609,,0.33905,-2.4609
2.90574,2.373,,0.36919,-2.373
2.92435,2.4609,,0.3878,-2.4609
2.95736,2.6367,,0.42081,-2.6367
2.97549,2.7246,,0.43894,-2.7246
3.00848,2.7246,,0.47193,-2.7246
3.03401,2.6367,,0.49746,-2.6367
3.05978,2.6367,,0.52323,-2.6367
3.08621,2.6367,,0.54966,-2.6367
3.11049,2.6367,,0.57394,-2.6367
3.13704,2.6367,,0.60049,-2.6367
3.15969,2.6367,,0.62314,-2.6367
3.18782,2.6367,,0.65127,-2.6367
3.21182,2.6367,,0.67527,-2.6367
3.23601,2.6367,,0.69946,-2.6367
3.2596,2.6367,,0.72305,-2.6367
3.29083,2.6367,,0.75428,-2.6367
3.3167,2.6367,,0.78015,-2.6367
3.34225,2.6367,,0.8057,-2.6367
3.36896,2.6367,,0.83241,-2.6367
3.39357,2.6367,,0.85702,-2.6367
3.41979,2.6367,,0.88324,-2.6367
3.44322,2.6367,,0.90667,-2.6367
3.47098,2.6367,,0.93443,-2.6367
3.49692,2.6367,,0.96037,-2.6367
3.52103,2.6367,,0.98448,-2.6367
3.5448,2.6367,,1.00825,-2.6367
3.57482,2.6367,,1.03827,-2.6367
3.59263,2.6367,,1.05608,-2.6367
3.62501,2.6367,,1.08846,-2.6367
3.65075,2.6367,,1.1142,-2.6367
3.67508,2.6367,,1.13853,-2.6367
3.70202,2.6367,,1.16547,-2.6367
