,,Time,Angle
5.50552,-30.498,0,30.498
5.52748,-29.2676,0.02196,29.2676
5.56108,-24.873,0.05556,24.873
5.58803,-15.3809,0.08251,15.3809
5.6119,-3.1641,0.10638,3.1641
5.64081,6.6797,0.13529,-6.6797
5.66264,12.4805,0.15712,-12.4805
5.69134,12.832,0.18582,-12.832
5.71857,9.4922,0.21305,-9.4922
5.74352,5.0098,0.238,-5.0098
5.76888,1.2305,0.26336,-1.2305
5.79291,-1.3184,0.28739,1.3184
5.82071,-2.6367,0.31519,2.6367
5.84618,-2.6367,0.34066,2.6367
5.87205,-1.9336,0.36653,1.9336
5.89521,-0.9668,0.38969,0.9668
5.92218,0,0.41666,0
5.94423,1.0547,0.43871,-1.0547
5.97442,2.0215,0.4689,-2.0215
5.99394,2.8125,0.48842,-2.8125
6.02636,3.252,0.52084,-3.252
6.05193,3.4277,0.54641,-3.4277
6.07631,3.4277,0.57079,-3.4277
6.10249,3.252,0.59697,-3.252
6.12694,3.1641,0.62142,-3.1641
6.15372,2.9883,0.6482,-2.9883
6.17698,2.9883,0.67146,-2.9883
6.20471,3.0762,0.69919,-3.0762
6.22669,3.0762,0.72117,-3.0762
6.25636,3.0762,0.75084,-3.0762
6.27885,3.0762,0.77333,-3.0762
6.30813,3.0762,0.80261,-3.0762
6.33493,2.9883,0.82941,-2.9883
6.35996,2.9883,0.85444,-2.9883
6.38474,3.0762,0.87922,-3.0762
6.41006,3.0762,0.90454,-3.0762
6.43708,2.9883,0.93156,-2.9883
6.46077,2.9883,0.95525,-2.9883
6.48776,3.0762,0.98224,-3.0762
6.51214,3.0762,1.00662,-3.0762
6.53956,3.0762,1.03404,-3.0762
6.56374,3.0762,1.05822,-3.0762
6.58898,3.0762,1.08346,-3.0762
6.61749,3.0762,1.11197,-3.0762
6.6425,3.0762,1.13698,-3.0762
6.66752,3.0762,1.162,-3.0762
6.69247,3.0762,1.18695,-3.0762
6.71894,3.0762,1.21342,-3.0762
6.74439,3.0762,1.23887,-3.0762
6.77034,3.0762,1.26482,-3.0762
6.79365,3.0762,1.28813,-3.0762
6.82156,3.0762,1.31604,-3.0762
6.84389,2.9883,1.33837,-2.9883
6.87321,3.0762,1.36769,-3.0762
6.89255,3.0762,1.38703,-3.0762
6.92493,3.0762,1.41941,-3.0762
6.95107,3.0762,1.44555,-3.0762
6.97569,3.0762,1.47017,-3.0762
7.00197,3.0762,1.49645,-3.0762
7.02794,3.0762,1.52242,-3.0762
7.05343,3.0762,1.54791,-3.0762
7.07628,3.0762,1.57076,-3.0762
7.10316,3.0762,1.59764,-3.0762
7.12582,2.9883,1.6203,-2.9883
7.15377,3.0762,1.64825,-3.0762
7.1759,3.0762,1.67038,-3.0762
7.20601,3.0762,1.70049,-3.0762
7.23403,3.0762,1.72851,-3.0762
7.2582,3.0762,1.75268,-3.0762
7.28399,3.0762,1.77847,-3.0762
7.31044,3.0762,1.80492,-3.0762
7.33591,3.0762,1.83039,-3.0762
7.36115,2.9883,1.85563,-2.9883
7.38745,2.9883,1.88193,-2.9883
7.412,3.0762,1.90648,-3.0762
7.43739,3.0762,1.93187,-3.0762
7.46269,3.0762,1.95717,-3.0762
7.48966,3.0762,1.98414,-3.0762
7.5114,3.0762,2.00588,-3.0762
7.54149,3.0762,2.03597,-3.0762
7.56701,3.0762,2.06149,-3.0762
7.59245,3.0762,2.08693,-3.0762
7.61833,3.0762,2.11281,-3.0762
7.64178,3.0762,2.13626,-3.0762
7.6697,3.0762,2.16418,-3.0762
7.69088,3.0762,2.18536,-3.0762
7.72049,2.9883,2.21497,-2.9883
7.7423,3.0762,2.23678,-3.0762
7.77234,3.0762,2.26682,-3.0762
7.79322,3.0762,2.2877,-3.0762
7.81922,3.0762,2.3137,-3.0762
7.8501,3.0762,2.34458,-3.0762
7.87489,3.0762,2.36937,-3.0762
7.90006,3.0762,2.39454,-3.0762
7.92668,3.0762,2.42116,-3.0762
7.95201,3.0762,2.44649,-3.0762
7.97621,3.0762,2.47069,-3.0762
8.00315,3.0762,2.49763,-3.0762
8.02792,3.0762,2.5224,-3.0762
8.05271,3.0762,2.54719,-3.0762
8.0745,3.0762,2.56898,-3.0762
8.10612,3.0762,2.6006,-3.0762
8.13296,2.9883,2.62744,-2.9883
8.15686,2.9883,2.65134,-2.9883
8.18325,3.0762,2.67773,-3.0762
8.20795,3.0762,2.70243,-3.0762
8.23422,3.0762,2.7287,-3.0762
8.25793,3.0762,2.75241,-3.0762
8.28633,3.0762,2.78081,-3.0762
8.31174,3.0762,2.80622,-3.0762
8.33596,3.0762,2.83044,-3.0762
8.35995,3.0762,2.85443,-3.0762
8.38853,3.0762,2.88301,-3.0762
8.41021,3.0762,2.90469,-3.0762
8.43991,3.0762,2.93439,-3.0762
8.4658,3.0762,2.96028,-3.0762
8.49077,3.0762,2.98525,-3.0762
8.51707,3.0762,3.01155,-3.0762
8.54177,3.0762,3.03625,-3.0762
8.56822,3.0762,3.0627,-3.0762
8.59496,3.0762,3.08944,-3.0762
8.6185,3.0762,3.11298,-3.0762
8.64334,3.0762,3.13782,-3.0762
8.67058,2.9883,3.16506,-2.9883
8.6937,3.0762,3.18818,-3.0762
8.72143,3.0762,3.21591,-3.0762
8.74933,3.0762,3.24381,-3.0762
8.774,3.0762,3.26848,-3.0762
8.79925,3.0762,3.29373,-3.0762
8.82459,2.9883,3.31907,-2.9883
8.85133,3.0762,3.34581,-3.0762
8.8745,3.0762,3.36898,-3.0762
8.90222,3.0762,3.3967,-3.0762
8.92395,2.9883,3.41843,-2.9883
8.95224,3.0762,3.44672,-3.0762
8.97413,3.0762,3.46861,-3.0762
9.00499,3.0762,3.49947,-3.0762
9.02559,3.0762,3.52007,-3.0762
9.05663,3.0762,3.55111,-3.0762
9.08223,3.0762,3.57671,-3.0762
9.10756,2.9883,3.60204,-2.9883
9.13335,3.0762,3.62783,-3.0762
9.15609,3.0762,3.65057,-3.0762
9.18412,2.9883,3.6786,-2.9883
9.209,3.0762,3.70348,-3.0762
9.23474,3.0762,3.72922,-3.0762
9.25717,2.9883,3.75165,-2.9883
9.28758,2.9883,3.78206,-2.9883
9.30923,3.0762,3.80371,-3.0762
9.33864,3.0762,3.83312,-3.0762
9.36548,2.9883,3.85996,-2.9883
9.39027,3.0762,3.88475,-3.0762
9.41606,3.0762,3.91054,-3.0762
9.44174,3.0762,3.93622,-3.0762
9.46698,3.0762,3.96146,-3.0762
9.49115,3.0762,3.98563,-3.0762
9.51758,2.9883,4.01206,-2.9883
9.53862,2.9883,4.0331,-2.9883
9.56763,3.0762,4.06211,-3.0762
9.59605,3.0762,4.09053,-3.0762
9.62096,3.0762,4.11544,-3.0762
9.64675,3.0762,4.14123,-3.0762
9.67207,3.0762,4.16655,-3.0762
9.69864,2.9883,4.19312,-2.9883
9.71974,3.0762,4.21422,-3.0762
9.75016,3.0762,4.24464,-3.0762
9.77305,2.9883,4.26753,-2.9883
9.80144,3.0762,4.29592,-3.0762
9.82381,3.0762,4.31829,-3.0762
9.85128,3.0762,4.34576,-3.0762
9.87651,2.9883,4.37099,-2.9883
9.90359,3.0762,4.39807,-3.0762
9.927,3.0762,4.42148,-3.0762
9.95527,2.9883,4.44975,-2.9883
9.98156,3.0762,4.47604,-3.0762
10.00576,3.0762,4.50024,-3.0762
10.03246,3.0762,4.52694,-3.0762
