,,,Time,Angle
3.76097,-10.5469,,0,10.5469
3.79133,-9.668,,0.03036,9.668
3.8176,-5.8887,,0.05663,5.8887
3.84219,-1.1426,,0.08122,1.1426
3.86902,2.2852,,0.10805,-2.2852
3.8937,4.043,,0.13273,-4.043
3.92034,4.1309,,0.15937,-4.1309
3.94385,3.0762,,0.18288,-3.0762
3.9707,1.9336,,0.20973,-1.9336
3.9954,1.0547,,0.23443,-1.0547
4.02255,0.6152,,0.26158,-0.6152
4.04291,0.4395,,0.28194,-0.4395
4.0739,0.6152,,0.31293,-0.6152
4.09332,0.8789,,0.33235,-0.8789
4.12454,1.0547,,0.36357,-1.0547
4.15125,0.9668,,0.39028,-0.9668
4.17664,0.8789,,0.41567,-0.8789
4.20231,0.8789,,0.44134,-0.8789
4.22664,0.8789,,0.46567,-0.8789
4.25392,0.9668,,0.49295,-0.9668
4.27638,1.0547,,0.51541,-1.0547
4.305,0.9668,,0.54403,-0.9668
4.3279,0.8789,,0.56693,-0.8789
4.35642,0.8789,,0.59545,-0.8789
4.38326,0.9668,,0.62229,-0.9668
4.40757,0.9668,,0.6466,-0.9668
4.43296,0.9668,,0.67199,-0.9668
4.45927,0.9668,,0.6983,-0.9668
4.48506,0.9668,,0.72409,-0.9668
4.51097,0.9668,,0.75,-0.9668
4.53639,0.9668,,0.77542,-0.9668
4.56009,0.8789,,0.79912,-0.8789
4.58786,0.8789,,0.82689,-0.8789
4.60766,0.9668,,0.84669,-0.9668
4.63882,0.9668,,0.87785,-0.9668
4.66119,0.8789,,0.90022,-0.8789
4.69045,0.8789,,0.92948,-0.8789
4.71674,0.9668,,0.95577,-0.9668
4.7404,0.9668,,0.97943,-0.9668
4.76789,0.9668,,1.00692,-0.9668
4.79216,0.9668,,1.03119,-0.9668
4.81872,0.9668,,1.05775,-0.9668
4.84502,0.9668,,1.08405,-0.9668
4.87019,0.9668,,1.10922,-0.9668
4.89212,0.9668,,1.13115,-0.9668
4.9216,0.9668,,1.16063,-0.9668
4.94116,0.9668,,1.18019,-0.9668
4.97329,0.9668,,1.21232,-0.9668
4.99935,0.9668,,1.23838,-0.9668
5.02438,0.9668,,1.26341,-0.9668
5.04961,0.9668,,1.28864,-0.9668
5.07416,0.9668,,1.31319,-0.9668
5.10172,0.9668,,1.34075,-0.9668
5.12763,0.9668,,1.36666,-0.9668
5.15275,0.9668,,1.39178,-0.9668
5.17729,0.9668,,1.41632,-0.9668
5.20335,0.9668,,1.44238,-0.9668
5.22485,0.9668,,1.46388,-0.9668
5.25606,0.9668,,1.49509,-0.9668
5.28264,0.9668,,1.52167,-0.9668
5.30655,0.9668,,1.54558,-0.9668
5.33263,0.9668,,1.57166,-0.9668
5.35795,0.9668,,1.59698,-0.9668
5.38392,0.9668,,1.62295,-0.9668
5.40855,0.9668,,1.64758,-0.9668
5.43527,0.9668,,1.6743,-0.9668
