Timestamp (s),Angle (deg)
0.0,-4.1309
0.0,-4.1309
0.0,-4.1309
0.00326,-4.1309
0.00326,-4.2188
0.00465,-4.3066
0.00465,-4.3066
0.00465,-4.3066
0.00465,-4.3945
0.00465,-4.3066
0.00705,-4.3945
0.00705,-4.3945
0.00796,-4.3945
0.00796,-4.4824
0.00905,-4.5703
0.00905,-4.5703
0.0101,-4.6582
0.0101,-4.7461
0.01098,-4.9219
0.01143,-4.9219
0.01181,-5.0977
0.01181,-5.1855
0.01181,-5.3613
0.01181,-5.4492
0.01476,-5.625
0.01476,-5.8008
0.01476,-5.9766
0.01663,-6.2402
0.01663,-6.416
0.01766,-6.5918
0.01766,-6.8555
0.01877,-7.0312
0.01877,-7.2949
0.01877,-7.4707
0.01976,-7.6465
0.01976,-7.8223
0.02077,-7.9102
0.02077,-8.0859
0.02177,-8.2617
0.02177,-8.3496
0.02229,-8.5254
0.02296,-8.7012
0.02397,-8.7891
0.02397,-8.9648
0.02469,-9.1406
0.02469,-9.3164
0.02554,-9.4922
0.02554,-9.668
0.02554,-9.7559
0.02675,-9.9316
0.02675,-10.1074
0.02778,-10.2832
0.02838,-10.459
0.02876,-10.6348
0.02876,-10.8105
0.02993,-10.9863
0.02993,-11.1621
0.03037,-11.3379
0.03075,-11.5137
0.03075,-11.6895
0.03075,-11.9531
0.03075,-12.1289
0.03211,-12.2168
0.03246,-12.4805
0.03291,-12.6562
0.03393,-12.832
0.03493,-13.0957
0.03493,-13.2715
0.03588,-13.3594
0.03588,-13.623
0.03588,-13.7109
0.03812,-13.8867
0.03812,-14.0625
0.03812,-14.1504
0.03914,-14.2383
0.03914,-14.4141
0.03914,-14.502
0.03914,-14.5898
0.05098,-14.6777
0.07639,-14.6777
0.10372,-14.7656
0.12517,-14.8535
0.15831,-14.9414
0.18593,-15.0293
0.21118,-15.1172
0.23802,-15.2051
0.26705,-15.293
0.29322,-15.293
0.32068,-15.3809
0.34525,-15.4688
0.37441,-15.5566
0.40111,-15.6445
0.42419,-15.6445
0.45411,-15.7324
0.48337,-15.8203
0.50343,-15.9082
0.53493,-15.9082
0.55767,-15.9961
0.5898,-16.084
0.6169,-16.084
0.64217,-16.2598
0.67128,-16.3477
0.69821,-16.3477
0.7242,-16.4355
0.74984,-16.5234
0.77501,-16.5234
0.80605,-16.6113
0.83379,-16.7871
0.85754,-16.7871
0.88603,-16.875
0.90993,-16.9629
0.94045,-17.0508
0.96708,-17.1387
0.99219,-17.3145
1.02199,-17.3145
1.04954,-17.4902
1.07548,-17.5781
1.10252,-17.666
1.12212,-17.7539
1.15604,-17.8418
1.18264,-18.0176
1.20403,-18.1055
1.23736,-18.1934
1.25543,-18.2812
1.28919,-18.3691
1.31868,-18.3691
1.34408,-18.5449
1.37194,-18.6328
1.39983,-18.7207
1.42074,-18.8965
1.45213,-19.0723
1.47469,-19.1602
1.50725,-19.248
1.53366,-19.3359
1.5574,-19.4238
1.58524,-19.5996
1.61572,-19.6875
1.64162,-19.7754
1.66941,-19.8633
1.68976,-20.0391
1.72288,-20.2148
1.74964,-20.3027
1.77491,-20.3906
1.80367,-20.5664
1.82396,-20.6543
1.85816,-20.7422
1.88545,-20.8301
1.91109,-20.918
1.93844,-21.0059
1.96639,-21.1816
1.99213,-21.1816
2.01909,-21.2695
