Timestamp (s),Angle (deg)
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.0,-0.35
0.00802,-0.35
0.00802,-0.35
0.00802,-0.35
0.01003,-0.35
0.01003,-0.35
0.01145,-0.35
0.01249,-0.35
0.01249,-0.35
0.01372,-0.35
0.01534,-0.35
0.01808,-0.35
0.01918,-0.35
0.02017,-0.35
0.02139,-0.35
0.02139,-0.35
0.02259,-0.35
0.02361,-0.35
0.02461,-0.35
0.02536,-0.35
0.02677,-0.35
0.02787,-0.35
0.02787,-0.35
0.02889,-0.35
0.02989,-0.35
0.02989,-0.35
0.02989,-0.35
0.02989,-0.35
0.02989,-0.35
0.02989,-0.35
0.03371,-0.35
0.03582,-0.35
0.03777,-0.35
0.03877,-0.35
0.03999,-0.35
0.0414,-0.35
0.0414,-0.35
0.0424,-0.35
0.0434,-0.35
0.04406,-0.35
0.04452,-0.35
0.04452,-0.35
0.04553,-0.35
0.04553,-0.35
0.0468,-0.35
0.0468,-0.35
0.0468,-0.35
0.0468,-0.35
0.0468,-0.35
0.04943,-0.35
0.04943,-0.35
0.05043,-0.35
0.05043,-0.35
0.05194,-0.35
0.05316,-0.35
0.05431,-0.35
0.05513,-0.35
0.05602,-0.35
0.05705,-0.35
0.05705,-0.35
0.05807,-0.35
0.05807,-0.35
0.05907,-0.35
0.05972,-0.35
0.05972,-0.35
0.06075,-0.35
0.06075,-0.35
0.06075,-0.35
0.06075,-0.35
0.06075,-0.35
0.06075,-0.35
0.06075,-0.35
0.06457,-0.35
0.06457,-0.35
0.06562,-0.35
0.06562,-0.35
0.06662,-0.35
0.06662,-0.35
0.06762,-0.35
0.06868,-0.35
0.06971,-0.35
0.07103,-0.35
0.07141,-0.35
0.07247,-0.35
0.07367,-0.35
0.07367,-0.35
0.07466,-0.35
0.07551,-0.35
0.07551,-0.35
0.07551,-0.35
0.07732,-0.35
0.07732,-0.35
0.07732,-0.35
0.07732,-0.35
0.07732,-0.35
0.07732,-0.35
0.07732,-0.35
