Timestamp (s),Angle (deg)
0.00053,-19.9512
0.00053,-19.9512
0.00053,-19.9512
0.00053,-19.9512
0.00053,-19.9512
0.00053,-19.9512
0.00359,-19.9512
0.00359,-19.8633
0.00456,-19.8633
0.00506,-19.8633
0.00506,-19.8633
0.00564,-19.8633
0.00564,-19.8633
0.00617,-19.7754
0.0067,-19.6875
0.00723,-19.6875
0.00779,-19.6875
0.0081,-19.6875
0.00868,-19.6875
0.00922,-19.6875
0.00922,-19.6875
0.00974,-19.6875
0.01028,-19.6875
0.01068,-19.6875
0.01136,-19.6875
0.01223,-19.6875
0.01342,-19.6875
0.01396,-19.6875
0.01453,-19.6875
0.01508,-19.6875
0.01614,-19.6875
0.01685,-19.6875
0.01685,-19.6875
0.01742,-19.6875
0.01796,-19.6875
0.0185,-19.6875
0.01903,-19.6875
0.01961,-19.6875
0.02016,-19.6875
0.02016,-19.6875
0.0207,-19.6875
0.02123,-19.6875
0.02172,-19.6875
0.02214,-19.6875
0.02267,-19.6875
0.02267,-19.6875
0.02322,-19.6875
0.02371,-19.6875
0.02371,-19.5996
0.02425,-19.5996
0.02478,-19.5996
0.02531,-19.5996
0.02584,-19.5996
0.02584,-19.5996
0.02636,-19.5996
0.02689,-19.6875
0.02743,-19.6875
0.02796,-19.6875
0.02849,-19.8633
0.02911,-19.8633
0.02982,-19.8633
0.03042,-19.8633
0.03099,-19.8633
0.03154,-19.8633
0.03154,-19.8633
0.03217,-19.8633
0.03272,-19.8633
0.03272,-19.8633
0.03325,-19.8633
0.03325,-19.9512
0.03376,-19.9512
0.03376,-19.9512
0.03437,-19.9512
0.03437,-19.9512
0.03538,-19.9512
0.03538,-19.9512
0.06078,-19.9512
0.08209,-19.9512
0.11455,-19.9512
0.14187,-19.9512
0.16845,-19.9512
0.19379,-19.9512
0.22379,-19.9512
0.24854,-19.9512
0.27617,-19.9512
0.3028,-19.9512
0.32732,-19.9512
0.35836,-19.9512
0.38203,-19.9512
0.41156,-19.9512
0.43743,-19.9512
0.46577,-19.9512
0.49241,-19.9512
0.51721,-19.9512
0.54484,-19.9512
0.57349,-19.9512
0.60004,-19.9512
0.62712,-19.9512
0.64874,-19.9512
0.68102,-19.9512
0.70893,-19.9512
0.73429,-19.9512
0.76044,-19.9512
0.79046,-19.9512
0.81417,-19.9512
0.84353,-19.9512
0.86923,-19.9512
0.89476,-19.9512
0.92449,-19.9512
0.94819,-19.9512
0.97662,-19.9512
1.00104,-19.9512
1.03188,-19.9512
1.05874,-19.9512
