,,,Time,Angle
11.44335,-30.2344,,0,30.2344
11.47105,-28.0371,,0.0277,28.0371
11.49747,-21.8848,,0.05412,21.8848
11.52445,-11.7773,,0.0811,11.7773
11.55215,-0.2637,,0.1088,0.2637
11.57101,7.6465,,0.12766,-7.6465
11.60301,10.1074,,0.15966,-10.1074
11.62635,7.5586,,0.183,-7.5586
11.65479,3.4277,,0.21144,-3.4277
11.67733,-0.1758,,0.23398,0.1758
11.70571,-2.2852,,0.26236,2.2852
11.72811,-2.9883,,0.28476,2.9883
11.75706,-2.5488,,0.31371,2.5488
11.77824,-1.582,,0.33489,1.582
11.80835,-0.5273,,0.365,0.5273
11.83541,0.5273,,0.39206,-0.5273
11.8613,1.4941,,0.41795,-1.4941
11.88532,2.1094,,0.44197,-2.1094
11.91192,2.2852,,0.46857,-2.2852
11.93717,2.1973,,0.49382,-2.1973
11.96156,2.0215,,0.51821,-2.0215
11.98805,1.7578,,0.5447,-1.7578
12.01344,1.7578,,0.57009,-1.7578
12.03901,1.7578,,0.59566,-1.7578
12.06079,1.7578,,0.61744,-1.7578
12.08909,1.7578,,0.64574,-1.7578
12.11127,1.8457,,0.66792,-1.8457
12.1431,1.8457,,0.69975,-1.8457
12.16827,1.8457,,0.72492,-1.8457
12.19404,1.7578,,0.75069,-1.7578
12.22012,1.8457,,0.77677,-1.8457
12.23851,1.8457,,0.79516,-1.8457
12.27108,1.8457,,0.82773,-1.8457
12.29498,1.8457,,0.85163,-1.8457
12.32304,1.8457,,0.87969,-1.8457
12.34639,1.8457,,0.90304,-1.8457
12.37231,1.8457,,0.92896,-1.8457
12.40105,1.8457,,0.9577,-1.8457
12.42483,1.8457,,0.98148,-1.8457
12.4515,1.8457,,1.00815,-1.8457
12.47755,1.8457,,1.0342,-1.8457
12.50235,1.8457,,1.059,-1.8457
12.5277,1.7578,,1.08435,-1.7578
12.55339,1.8457,,1.11004,-1.8457
12.57705,1.8457,,1.1337,-1.8457
12.60512,1.8457,,1.16177,-1.8457
12.62537,1.8457,,1.18202,-1.8457
12.65606,1.7578,,1.21271,-1.7578
12.67995,1.7578,,1.2366,-1.7578
12.70848,1.8457,,1.26513,-1.8457
12.73416,1.9336,,1.29081,-1.9336
12.75952,1.8457,,1.31617,-1.8457
12.77644,1.8457,,1.33309,-1.8457
12.81073,1.7578,,1.36738,-1.7578
12.83635,1.7578,,1.393,-1.7578
12.86069,1.7578,,1.41734,-1.7578
12.88687,1.8457,,1.44352,-1.8457
12.91063,1.8457,,1.46728,-1.8457
12.93904,1.8457,,1.49569,-1.8457
12.96303,1.8457,,1.51968,-1.8457
