,,Time,Angle
6.30405,-45.791,0,45.791
6.32344,-44.8242,0.01939,44.8242
6.35777,-38.7598,0.05372,38.7598
6.38511,-24.6973,0.08106,24.6973
6.41023,-5.5371,0.10618,5.5371
6.43753,10.1074,0.13348,-10.1074
6.46292,15.7324,0.15887,-15.7324
6.48946,11.1621,0.18541,-11.1621
6.51534,3.252,0.21129,-3.252
6.5402,-3.1641,0.23615,3.1641
6.56693,-6.6797,0.26288,6.6797
6.59073,-6.8555,0.28668,6.8555
6.6164,-4.7461,0.31235,4.7461
6.64078,-2.0215,0.33673,2.0215
6.66874,0.4395,0.36469,-0.4395
6.69146,2.373,0.38741,-2.373
6.72089,3.4277,0.41684,-3.4277
6.74028,3.5156,0.43623,-3.5156
6.76933,3.0762,0.46528,-3.0762
6.7981,2.373,0.49405,-2.373
6.82297,1.8457,0.51892,-1.8457
6.84923,1.4941,0.54518,-1.4941
6.87456,1.4062,0.57051,-1.4062
6.90007,1.4941,0.59602,-1.4941
6.92465,1.582,0.6206,-1.582
6.95068,1.6699,0.64663,-1.6699
6.97398,1.6699,0.66993,-1.6699
7.00094,1.6699,0.69689,-1.6699
7.02134,1.582,0.71729,-1.582
7.05429,1.582,0.75024,-1.582
7.07717,1.582,0.77312,-1.582
7.10485,1.6699,0.8008,-1.6699
7.1311,1.6699,0.82705,-1.6699
7.15641,1.6699,0.85236,-1.6699
7.18332,1.6699,0.87927,-1.6699
7.20861,1.6699,0.90456,-1.6699
7.23406,1.582,0.93001,-1.582
7.25899,1.582,0.95494,-1.582
7.28537,1.6699,0.98132,-1.6699
7.30989,1.6699,1.00584,-1.6699
7.33668,1.6699,1.03263,-1.6699
7.36386,1.6699,1.05981,-1.6699
7.38793,1.582,1.08388,-1.582
7.4141,1.582,1.11005,-1.582
7.43931,1.6699,1.13526,-1.6699
7.46511,1.6699,1.16106,-1.6699
7.48494,1.582,1.18089,-1.582
7.51638,1.582,1.21233,-1.582
7.54045,1.582,1.2364,-1.582
7.56832,1.6699,1.26427,-1.6699
7.58911,1.6699,1.28506,-1.6699
7.62004,1.6699,1.31599,-1.6699
7.64055,1.6699,1.3365,-1.6699
7.66767,1.6699,1.36362,-1.6699
7.69751,1.6699,1.39346,-1.6699
7.72224,1.6699,1.41819,-1.6699
7.74727,1.582,1.44322,-1.582
7.77376,1.582,1.46971,-1.582
7.79937,1.6699,1.49532,-1.6699
7.82448,1.6699,1.52043,-1.6699
7.85098,1.6699,1.54693,-1.6699
7.87369,1.6699,1.56964,-1.6699
7.90207,1.582,1.59802,-1.582
7.92687,1.582,1.62282,-1.582
7.95147,1.582,1.64742,-1.582
7.97999,1.582,1.67594,-1.582
8.0047,1.582,1.70065,-1.582
8.03136,1.6699,1.72731,-1.6699
8.05674,1.6699,1.75269,-1.6699
8.0824,1.582,1.77835,-1.582
8.1064,1.6699,1.80235,-1.6699
8.13316,1.6699,1.82911,-1.6699
8.15446,1.6699,1.85041,-1.6699
8.184,1.6699,1.87995,-1.6699
8.21122,1.6699,1.90717,-1.6699
8.23444,1.582,1.93039,-1.582
8.26311,1.582,1.95906,-1.582
8.28747,1.6699,1.98342,-1.6699
8.31149,1.6699,2.00744,-1.6699
8.33953,1.6699,2.03548,-1.6699
8.3645,1.6699,2.06045,-1.6699
8.38389,1.582,2.07984,-1.582
8.41564,1.582,2.11159,-1.582
8.43949,1.582,2.13544,-1.582
8.46783,1.6699,2.16378,-1.6699
8.49079,1.6699,2.18674,-1.6699
8.51869,1.582,2.21464,-1.582
