Time,Angle
0,10.5469
0.03036,9.668
0.05663,5.8887
0.08122,1.1426
0.10805,-2.2852
0.13273,-4.043
0.15937,-4.1309
0.18288,-3.0762
0.20973,-1.9336
0.23443,-1.0547
0.26158,-0.6152
0.28194,-0.4395
0.31293,-0.6152
0.33235,-0.8789
0.36357,-1.0547
0.39028,-0.9668
0.41567,-0.8789
0.44134,-0.8789
0.46567,-0.8789
0.49295,-0.8789
0.51541,-0.8789
0.54403,-0.8789
0.56693,-0.8789
0.59545,-0.8789
0.62229,-0.8789
0.6466,-0.8789
0.67199,-0.8789
0.6983,-0.8789
0.72409,-0.8789
0.75,-0.8789
0.77542,-0.8789
0.79912,-0.8789
0.82689,-0.8789
0.84669,-0.8789
0.87785,-0.8789
0.90022,-0.8789
0.92948,-0.8789
0.95577,-0.8789
0.97943,-0.8789
1.00692,-0.8789
1.03119,-0.8789
1.05775,-0.8789
1.08405,-0.8789
1.10922,-0.8789
1.13115,-0.8789
1.16063,-0.8789
1.18019,-0.8789
1.21232,-0.8789
1.23838,-0.8789
1.26341,-0.8789
1.28864,-0.8789
1.31319,-0.8789
1.34075,-0.8789
1.36666,-0.8789
1.39178,-0.8789
1.41632,-0.8789
1.44238,-0.8789
1.46388,-0.8789
1.49509,-0.8789
1.52167,-0.8789
1.54558,-0.8789
1.57166,-0.8789
1.59698,-0.8789
1.62295,-0.8789
1.64758,-0.8789
1.6743,-0.8789
1.6977,-0.8789
1.72563,-0.8789
1.748,-0.8789
1.77696,-0.8789
1.79944,-0.8789
1.82868,-0.8789
1.85492,-0.8789
1.87924,-0.8789
1.90491,-0.8789
1.9292,-0.8789
1.95692,-0.8789
1.98248,-0.8789
2.00831,-0.8789
2.03435,-0.8789
2.05858,-0.8789
2.08345,-0.8789
2.11119,-0.8789
2.13772,-0.8789
2.16191,-0.8789
2.18811,-0.8789
2.21379,-0.8789
2.23839,-0.8789
2.26472,-0.8789
2.29091,-0.8789
2.31384,-0.8789
2.34065,-0.8789
2.36647,-0.8789
2.39315,-0.8789
2.41604,-0.8789
2.44444,-0.8789
2.4711,-0.8789
2.49596,-0.8789
2.52205,-0.8789
2.54608,-0.8789
2.57298,-0.8789
2.59321,-0.8789
2.62449,-0.8789
2.6463,-0.8789
2.67488,-0.8789
2.69558,-0.8789
2.72686,-0.8789
2.74956,-0.8789
2.77757,-0.8789
2.80453,-0.8789
2.82668,-0.8789
2.85534,-0.8789
2.88173,-0.8789
2.9071,-0.8789
2.92885,-0.8789
2.95618,-0.8789
2.97982,-0.8789
3.00994,-0.8789
3.03548,-0.8789
3.06121,-0.8789
3.08689,-0.8789
3.1127,-0.8789
3.13786,-0.8789
3.16346,-0.8789
3.18988,-0.8789
3.21506,-0.8789
3.2402,-0.8789
3.2651,-0.8789
3.28974,-0.8789
3.31153,-0.8789
3.34308,-0.8789
3.3702,-0.8789
3.39441,-0.8789
3.42096,-0.8789
3.4392,-0.8789
3.47228,-0.8789
3.49408,-0.8789
3.52345,-0.8789
3.5472,-0.8789
3.5739,-0.8789
3.59858,-0.8789
3.62448,-0.8789
3.65296,-0.8789
3.67744,-0.8789
3.69654,-0.8789
3.73027,-0.8789
3.75534,-0.8789
3.7804,-0.8789
3.80601,-0.8789
3.82934,-0.8789
3.8569,-0.8789
3.88009,-0.8789
3.90848,-0.8789
3.93596,-0.8789
3.96137,-0.8789
3.98636,-0.8789
4.01079,-0.8789
4.0371,-0.8789
4.06069,-0.8789
4.08839,-0.8789
4.11333,-0.8789
4.13985,-0.8789
4.16289,-0.8789
